id	value
TrumpDailyTweet	83
HydroElections	45
FinalHorcrux	35
WebDesignEA	30
CNNsWorld	29
writerforhire	23
robertad1202	23
SteamDevelopers	23
james1neva	21
NYhatesTrump	20
Amb0306	20
grandpooba5440	19
funfany21	19
corrigan_david	19
JohnTrumpFanKJV	19
usatrueamerican	18
marcylauren	18
kikissalon1	18
judith_forex	18
VenusVegas1988	18
GabrielAlon	18
wikitrendsUS	17
spamDonaldTrump	17
mrthriller5	17
aerdt	17
_breitbot_	17
TomthunkitsMind	17
Sephiroth__J	17
EggRetweet	17
suejohnston56	16
onevoice2	16
jcr914	16
angrycatss	16
WhatsTreding	16
DeplorableDanna	16
neptuno30	15
lkjtexas	15
dianez123	15
constitutionB0t	15
Native1968	15
LisaHauser8	15
Davewellwisher	15
CrazyCatLadyFL	15
varels_Mega	14
shaker0309	14
rjber15	14
painter87048	14
lucasfrance1	14
grannynannynews	14
graceinyerface	14
cj_disabled	14
_fck_trump	14
KathyStricker2	14
IvankaLovers	14
EP_EEUU_News	14
BarnettTrump	14
ukexpat19	13
seamanfred691	13
lynn_weiser	13
crazylary51	13
arealamericanUS	13
WeinfeldRuth	13
USGovReport	13
Report24CA	13
POTUSstinks	13
Mrsmaxdewinter	13
LindaLawrey	13
JoelieC48Kerr	13
GirlForTrumpNew	13
GGG_says	13
FreedomToResist	13
EmmaMAGA_	13
ClipnerKevin	13
AshaiDeplo	13
4th_JULY_	13
timgw37	12
textifyer59	12
kimberlyn_deplo	12
helmuth_bh	12
googletrendings	12
glpiman	12
Wellness4You13	12
RosalesRosina	12
NewsDeplorable	12
MagaWithTrump	12
MAGA_Sally_USA	12
MAGASupporters	12
KatieUS_MAGA_	12
Jamestoupin	12
Dylanesque2604	12
DeplorableJimbo	12
AshleyFisher_US	12
79topper	12
usajoeysmith	11
ungubunugu1274	11
thejossgroup	11
sddphoto	11
mtighe15	11
missb62	11
mhduff61	11
margaritarr8	11
joannesmoot	11
jim7911	11
cherokeesher2	11
carlycobalt	11
bmangh	11
USAmericaLover	11
TrumpHero4usa	11
Tina12312	11
TheTobster111	11
TheNextShare	11
TheDailyGeeky	11
SukiFrench	11
MelaniaTrump24h	11
McGMaryland	11
MakeAmericaNews	11
MEGA_Hoffman	11
KnowYourLeak	11
Firni	11
DorMouseSez	11
ClaireJohnson_D	11
CallawayBOT	11
AtreiyaN7	11
AllGreatAgain	11
yvonne_erdmann	10
toshea66	10
themindofkrw	10
slava381977	10
siminuteman1776	10
samir0403	10
realmojesse5372	10
ranchocopper	10
lorac328	10
llstudent08	10
impeach_bannon	10
elamirdra	10
donnamcar	10
davemasters	10
crosa1988	10
caselvis58	10
cahulaan	10
Warrior4Victory	10
VCOON53	10
TLP1954	10
Sussan_D	10
Sjdivadolly	10
SharonMcCutchan	10
Shanaya_deplo	10
SamScrogg	10
RealMuckmaker	10
Philosocrat	10
PeterPrunski	10
PeretzOmasi	10
OHenryHernandez	10
NewsTrump24h	10
NarrendraM	10
MyAlliesTrading	10
MarthaLynneOwe1	10
Marcr1240	10
LindsayDeplo	10
KimberlyEndico5	10
Kelly68299499	10
JaneNel34178882	10
FtwBassfamily	10
Daniel_MAGA_	10
Cindy_52s	10
CherlSands	10
CandeeSnow	10
Beverly86418528	10
BPPope	10
BIGSHOW401	10
Angelus1701	10
575haiku	10
zoombouse	9
worldnews_net	9
william36945299	9
varda_friedman	9
stshinn	9
solorzanobd	9
sokeijarhead	9
protesting2016	9
profesortbaker	9
ndylan1	9
mfbusto11	9
me_the_investor	9
mccraw_birkie5	9
martin_kj	9
lplatosmith	9
lovetoes69	9
kw_marc	9
kchuck422	9
katehol51763278	9
kak089	9
johnabdu3	9
jgionova	9
datagoodies	9
cyvillarreal	9
crossfitnans	9
cletus02430765	9
catherinekirby	9
bulldoghill	9
brontyman	9
break_xxi	9
bluedillygal	9
birdiealways	9
bhendricks72013	9
bethsinni21	9
barricko_bama	9
barbaraward235	9
banditville2014	9
_ILoveTrump_	9
WhiteHouse24h	9
TheRealRoseDiV	9
TeamTrumpAZ	9
StayHopeful16	9
SolelyNews	9
SiobhanGeogheg1	9
SidelinedBuddah	9
Roses_4_Thorns	9
Robrt_M_Goldste	9
PrincessBravato	9
PoliticsNewz	9
PhilduranJ	9
PaulStewartII	9
PaulDouglasHale	9
POTUSIsLOVED44	9
NorthernNews2	9
NoBrainsTRUMP	9
Newyorker2212	9
NewsTrump2020	9
Morgawr69	9
Monaca6	9
MolisMaga	9
Melania_MAG4_	9
MelaniaLovers	9
MarieMa49685063	9
LouiseMorett	9
Lizberth_d	9
LisaMoraitis1	9
LeftonMain	9
KittsNews	9
Judith_MasonUS	9
Jennife52613581	9
Hapjamlaw	9
GoldStarMomTX55	9
GoGoWIthTRUMP	9
GiselleOrgana	9
GespenstOne78	9
ErickJongo	9
EllenMorris1222	9
EduardQualls	9
DeplorableKatie	9
CuperAlfredt	9
CarolineSunne	9
BarryHingley	9
BarbaraRacek	9
Anna_DPirest	9
AmberM4G4	9
zumausa	8
yerissa_blondee	8
wrongestwrong	8
winterthur	8
wavetossed	8
victory1261	8
utorgersen	8
tryinntryin	8
truthismaster	8
tinyboo49	8
thehill	8
stacy_friday	8
sox_morgan	8
sherrythrasher	8
sba1211	8
russelltim151	8
rharrisonfries	8
ptydale1001	8
patf304	8
oufenix	8
noybsk2017	8
newslivenetwork	8
neaner069	8
nataliecoxtrump	8
mercedesfduran	8
mebennui	8
mcassara143	8
marvellous997	8
maitlandscully	8
lorianderson444	8
kals55	8
jimdandeo	8
jess4trump	8
igneousidol	8
glennwa1	8
glassyelegance	8
getchell_patty	8
funder	8
finafyr	8
esmepmarm	8
emkyo	8
dolphsteelbear	8
djsandwiches	8
debilu2	8
dayvarelat	8
darlene09465021	8
damian_godden	8
crewislife	8
contenteddriver	8
clannadlore	8
caligi14	8
breaking_newsi	8
brandonlancast2	8
bountyofbeads2	8
bellablue1060	8
bdanaher17	8
bad_indian_girl	8
ambinc1	8
_politic_us_	8
YMcglaun	8
WomenSaveUSA	8
WendyPengelly	8
WeTrustInTrump	8
Wdewdrop1	8
W_I_UK	8
TurtleWoman777	8
Trump5254	8
Trmpwin	8
Trish061616	8
TinaJac22661258	8
TiffanyTrumps	8
TeresaHutson1	8
TeamPresidentDT	8
Tackspayer	8
TMDILL1	8
SylviaPassas	8
Swing_Puik	8
Sumenn7063	8
Singularity2039	8
SilkyinWa	8
SherriKuczeryk	8
ScoopDaa	8
Saya_relativity	8
RobertA87413263	8
ReginaUS_M4G4	8
RealTimeHack	8
RajeshIndolia	8
Politics_Info	8
NyanRage	8
NVPeople	8
MyraDSirois1	8
MsBless2013	8
MessBusterAK	8
MatuaJustin	8
MarketSenseiApp	8
MarkPare5	8
Marie5698766153	8
Marengel4	8
ManMet80	8
LucySullivan888	8
LoveStephanysco	8
Liveandlove333	8
Lillithtormenti	8
LabradorCat	8
LAsamurai27	8
KnowVidLeaks	8
KirbyK76403504	8
Kat4Obama	8
KSTksti	8
JulieCa92128716	8
Ingloriousbastr	8
GingerSpiceCin	8
FreddyRoo2	8
Fitness_nna	8
FansMelania_T	8
Eyes_of_justice	8
Elizabe21641277	8
Elisse_T	8
Earthshaker2016	8
Eamon0303	8
EP_EEUU	8
Drewtejano	8
Donald_JTrumpON	8
DemocracyFight	8
