id	value
RT	84078
TRUMP	56365
@REALDONALDTRUMP	16362
YOU	13434
TRUMP'S	9401
PRESIDENT	9109
THIS	8868
DONALD	8562
I	8328
HIS	8150
NOT	7181
ABOUT	6792
&	6356
WHAT	6112
-	5972
HAVE	5649
WE	5400
JUST	4890
YOUR	4833
MEDIA	4796
SWEDEN	4781
ALL	4753
IF	4600
NO	4566
WHO	4528
BUT	4515
OUT	4286
SO	4208
NEWS	4175
DE	4032
THEY	3689
MY	3652
LIKE	3563
#TRUMP	3536
UP	3514
VIA	3489
MORE	3402
HOW	3390
PEOPLE	3286
OUR	3253
WHEN	3194
US	3161
FAKE	3127
NEW	3093
RALLY	3085
TRUMP,	3039
TRUMP’S	2924
THAN	2831
ONE	2783
GET	2669
DO	2642
DON'T	2622
IT'S	2566
WHITE	2513
@REALDONALDTRUMP:	2491
HIM	2461
MAKE	2453
WHY	2423
AFTER	2404
FIRST	2342
NOW	2331
SAYS	2322
OR	2274
SHOULD	2270
OVER	2257
CAN	2193
OBAMA	2173
AMERICA	2158
@FOXNEWS	2116
TRUMP.	2108
ATTACK	2093
#TRUMPRALLY	2092
@POTUS	2077
WANT	2049
HAD	2036
TRUMP:	2032
KNOW	2013
PRESS	2008
LA	2002
DAY	1998
SAY	1939
THEIR	1938
BEEN	1896
RUSSIAN	1892
THERE	1861
WOULD	1841
SECURITY	1820
RUSSIA	1793
AGAINST	1791
HOUSE	1783
AMERICAN	1767
ONLY	1757
GREAT	1742
DID	1738
EN	1726
THINK	1719
HE'S	1719
SAID	1652
SEE	1648
NATIONAL	1614
BECAUSE	1611
LAST	1606
GOING	1493
MCCAIN	1486
YOU'RE	1481
ATTACKS	1481
TIME	1469
GOOD	1446
FLORIDA	1436
HAPPY	1432
#MAGA	1404
MADE	1402
RIGHT	1400
QUE	1396
NEVER	1395
EL	1388
STATE	1357
INTO	1351
ME	1341
BEING	1319
FOX	1312
SOME	1311
CAMPAIGN	1306
I'M	1304
@IMPEACH_D_TRUMP:	1283
NIGHT	1271
TODAY	1269
EVERY	1264
ADMINISTRATION	1233
DOES	1229
VERY	1225
MELANIA	1215
EVEN	1209
JOHN	1205
THEM	1202
STILL	1193
ANY	1193
MONTH	1174
DIDN'T	1174
MAKES	1172
IMMIGRATION	1169
DOESN'T	1161
Y	1157
LOVE	1135
AMERICANS	1130
WHERE	1125
COULD	1118
|	1113
HERE	1098
TELL	1078
ANTI-TRUMP	1072
VOTED	1069
SUPPORTERS	1069
GO	1067
U.S.	1066
PLAN	1063
@THEHILL:	1057
NEED	1056
SUPPORT	1053
CAN'T	1051
STOP	1047
COST	1046
MANY	1039
DAYS	1038
BACK	1037
REAL	1032
MUCH	1031
#PRESIDENTSDAY	1019
THESE	1013
DOWN	1009
THAT'S	1001
MOST	1001
BEFORE	1001
LOOK	994
.@REALDONALDTRUMP	992
HTTPS://T.…	987
SWEDISH	986
TAKE	984
PLEASE	978
VISIT	970
THEN	970
SHOW	960
MAKING	959
GOT	958
MUST	953
U	943
BELIEVE	943
KEEP	940
2	935
MAN	933
COUNTRY	923
OTHER	917
THANK	914
–	913
HTTPS:/…	911
PRESIDENTS	910
WAY	900
DOING	898
LIBERALS	897
BAN	894
HIM.	893
LET	890
SWEDEN.	875
GIVE	874
YEAR	866
LOS	862
CALLS	858
GOP	857
TRYING	855
SINCE	852
HTTPS://…	847
UN	845
@KYLEGRIFFIN1:	844
HTTPS:…	841
:	833
4	832
TRAVEL	828
REALLY	824
WANTS	820
#THERESISTANCE	811
CON	809
RETWEET	801
LIES	800
TERROR	794
@CNN	793
ANOTHER	785
TRUMPS	784
@FUNDER:	784
NOTHING	782
"THE	782
OFF	781
STORY	780
PRESIDENT'S	780
MILO	779
CLAIMS	778
HTTPS://T.C…	777
COME	777
UNDER	775
BIG	771
TIMES	768
HTTPS://T.CO…	765
INCIDENT	762
WHILE	755
REPUBLICANS	751
TAXPAYERS	750
WORKING	749
AM	748
SUPPORTER	747
ENEMY	747
WATCH	744
HTTPS://T…	744
CALL	738
THOSE	737
REMEMBER	737
HAPPENED	737
GOLF	735
@SENSANDERS:	733
PARLIAMENT	730
HER	728
CNN	726
CALLED	724
@SAIIYYATES:	721
@PRISONPLANET:	721
MCMASTER	718
EVER	716
VIDEO	714
HTTPS…	711
WHAT'S	709
WHICH	703
MELBOURNE,	700
THING	699
READ	699
NEEDS	698
SAYING	697
GOD	697
DURING	696
FREE	692
FAMILY	691
BLACK	687
MILLION	684
HAPPENING	684
ADVISER	684
@FOXNEWS:	682
ACTUALLY	681
#RESIST	681
HELPING	673
DONE	673
FORMER	672
OWN	667
ALREADY	667
TWEETS	663
MR.	661
MAY	660
HATE	658
TIES	657
LET'S	656
HERE'S	656
PUT	654
SAME	650
WORK	646
H.R.	640
TAX	639
GETS	638
SE	637
WORLD	636
MAR-A-LAGO	635
LORD'S	626
ISN'T	623
TOO	618
PUBLIC	618
JOB	618
BRITISH	617
"LAST	616
YORK	614
LEFT	614
GETTING	613
FLYNN	610
CROWD	608
CLINTON	607
@IVANKATRUMP	607
TALKING	606
CALLING	606
PROTEST	603
LIVE	602
AGAIN	602
TERRORIST	600
STATEMENT	600
T…	599
TRUST	596
WAR	593
WALL	593
WE'RE	591
BREAKING	591
REPORT	589
ALSO	589
PUTIN	588
WRONG	587
IT.	584
#MELBOURNE	578
SHE	574
MUSLIM	574
LE	571
#TRUMPRUSSIA	568
@NYTIMES	565
PRAYER	563
TRUMP!	562
WON'T	561
STAGE	558
TOOK	557
30	554
AGAIN!	553
#FAKENEWS	553
GENERAL	552
BEST	552
IVANKA	550
TINY	549
RUSSIA.	549
THE…	548
HELP	547
@WASHINGTONPOST:	543
#SWEDENINCIDENT	540
HOLDING	539
EXCEPT	539
INTEL	535
GUY	535
HTTPS://T.CO/…	533
FELIX	532
VOTERS	531
FOREIGN	530
TWITTER	529
PRESIDENCY	529
TEAM	528
CRIME	527
POR	524
@KHANOISSEUR:	524
BUSINESS	521
TALK	517
TRUMP?	516
HTTP…	515
3	515
A…	513
HILLARY	512
THINGS	511
SOMETHING	507
ALWAYS	506
I'VE	504
ASKED	503
@YOUTUBE	502
EVERYTHING	501
SPEECH	500
TAKING	499
POLICY	498
@TEN_GOP:	498
SWEDEN,	497
LYING	497
FORCE	497
ES	497
FBI	496
LOOKS	495
WELL	492
PROUD	492
BAD	492
AROUND	492
THOUSANDS	491
IMMIGRANTS	491
DEMOCRATS	491
ALMOST	491
@REALDONALDTRUMP.	491
@BERNIESANDERS:	491
—	489
BREAK	489
CHANGE	488
YEARS	487
